EventDate,EventName,Quantity,Price,Merchandise_Sales,Concession_Sales
2016-06-27 16:30:00,Weiner,4,31.75,0.0,0.0
2016-07-02 14:30:00,The BFG,1,6.5,0.0,0.0
2016-07-06 13:30:00,The BFG,11,85.0,0.0,44.0
2016-07-06 16:30:00,The BFG,2,16.5,0.0,8.5
2016-07-06 19:30:00,The BFG,13,114.75,0.0,46.0
2016-07-07 13:30:00,The BFG,11,80.25,0.0,22.5
2016-07-07 16:30:00,The BFG,5,39.0,30.0,17.0
2016-07-07 19:30:00,The BFG,4,35.75,0.0,33.0
2016-07-07 22:00:00,The Lady from Shanghai,27,184.0,0.0,144.5
2016-07-08 17:00:00,The BFG,7,52.5,0.0,33.5
2016-07-08 19:30:00,The BFG,12,101.0,0.0,33.0
2016-07-08 22:00:00,The Killing,34,264.0,0.0,148.0
2016-07-09 10:00:00,Boy and the World,60,0.0,0.0,148.75
2016-07-09 12:00:00,Boy and the World,57,0.0,0.0,201.5
2016-07-09 14:30:00,The BFG,4,33.0,0.0,9.0
2016-07-09 17:00:00,The BFG,5,41.25,0.0,12.0
2016-07-09 19:30:00,The BFG,16,145.0,0.0,48.0
2016-07-09 22:00:00,The Killing,15,104.0,0.0,50.0
2016-07-10 12:00:00,The Killing,20,129.75,0.0,46.5
2016-07-10 14:30:00,The BFG,8,63.0,0.0,14.0
2016-07-10 17:00:00,The BFG,6,51.75,0.0,33.0
2016-07-10 19:30:00,The BFG,10,91.25,0.0,32.0
2016-07-10 22:00:00,Weiner,18,144.0,0.0,60.5
2016-07-11 22:00:00,Lobster,42,320.0,0.0,114.0
2016-07-12 19:30:00,The BFG,20,155.75,0.0,53.5
2016-07-12 22:00:00,Lobster,34,272.0,0.0,176.5
2016-07-13 19:30:00,The BFG,12,111.0,0.0,33.0
2016-07-13 22:00:00,Weiner,26,208.0,0.0,67.0
2016-07-14 17:00:00,The BFG,10,74.25,0.0,32.75
2016-07-14 19:30:00,The BFG,4,36.0,0.0,27.0
2016-07-14 22:00:00,The Killing,17,104.0,10.0,72.0
2016-07-15 17:00:00,Hunt for the Wilderpeople,19,146.0,0.0,70.5
2016-07-15 19:30:00,Hunt for the Wilderpeople,57,535.25,0.0,183.5
2016-07-15 22:00:00,My Neighbor Totoro,46,368.0,10.0,189.5
2016-07-16 10:00:00,My Neighbor Totoro,108,0.0,0.0,417.0
2016-07-16 12:00:00,My Neighbor Totoro,174,0.0,0.0,463.0
2016-07-16 14:30:00,Hunt for the Wilderpeople,34,204.75,0.0,87.5
