,Events,Quantity,Price,Merchandise_Sales,Concession_Sales
247,Tell Them We Are Rising: The Story of Black Colleges and Universities,33,254,0,117.5
248,In the Fade,135,1131.25,0,474
249,Have A Nice Day (Hao ji le),46,336,0,69
250,Empire of the Ants,36,282.5,0,159
251,Have a Nice Day,27,260.25,0,39
252,Femme Frontera Filmmaker Showcase,49,421,0,154.75
254,Dirty Dancing,18,128,0,56.5
255,Flashdance,10,72,0,32.5
258,Obit.,56,330,0,189
259,The Party,206,1781.75,0,634.25
260,"I, Tonya",158,1220.75,0,511
261,A Matter of Life and Death,44,330.5,0,170.75
262,The Insult,146,1250.5,0,369.75
263,Blade Runner 2049,131,1024,0,498.75
264,The 19th Annual Animation Show of Shows,88,741.5,0,198.5
266,Blockers,1,0,0,475.25
270,Truth or Dare,5,0,0,344.75
273,Beyond the Valley of the Dolls,47,344,0,166.25
274,The Passion of Joan of Arc,45,372.5,0,107.25
275,Superman,30,223.5,0,172.25
276,Suspiria (1977),122,1151,0,483.75
278,The Texas Chainsaw Massacre 2,38,272,0,120.75
279,Amadeus: The Director's Cut,100,886,0,312.75
280,Brain Damage,23,160,0,109.75
283,All the Queen's Horses,278,2295.25,0,566.25
284,El Mar La Mar,12,90,0,53.5
287,Carmen Jones,38,292,0,143.5
290,Filmworker,39,200,0,197
291,Disobedience,193,1683,0,542.5
292,The Black Cat,22,152,0,80.25
293,Oh Lucy!,92,769.5,0,181.25
295,Blue Collar,37,264,0,108.5
296,All That Heaven Allows,36,303.25,0,106.25
297,Scarlet Diva,8,48,0,32.75
298,Rogers Park,56,484,0,203
301,Jaws: The Revenge,14,88,0,59
304,Gadget Girls & ’63 Boycott w/ Risé Sanders-Weir & Gordon Quinn,20,138,0,75.75
305,Sustainable,1,0,0,256
307,McKellen: Playing the Part,41,160,0,122.75
308,Cemetery Without Crosses,13,104,0,70.25
309,Deconstructing the Birth of the Beatles,49,454,0,221
311,Damsel,59,451.25,0,178.25
312,Ghost Stories,104,776,0,411.75
313,Yellow Submarine,199,1685.25,0,703.25
314,Minding the Gap,35,267.25,0,79.75
317,Ali: Fear Eats The Soul,27,204.75,0,136.5
318,Nancy,27,168,0,63
319,The Atomic Cafe,47,290,0,205
320,The Ranger,18,0,0,89
322,More Blood!,2,0,0,34
324,Trespassing Bergman,13,70,0,63.25
325,Summer with Monika,49,377.25,0,117.5
326,The Gospel According to André,31,251,0,93.25
328,Summer of 84,30,208,0,102
329,Grace Jones: Bloodlight and Bami,30,216.5,0,108.25
330,Persona,82,694.75,0,221.75
331,The Miseducation of Cameron Post,247,2140.75,0,760
332,Madeline's Madeline,19,137.75,0,79.25
